Standard
Act CXVI of 1996
HAEA Guideline PP-20 v1:2017
HAEA Guideline SG-1 v2:2018
HAEA Guideline SG-2 v1:2015
HAEA Guideline SG-2 v2:2020
302/2005
2073/2005
206/2012
1253/2014
2016/631
2017/1485
2019/1781
2019/1783
338/97
428/2009
793/93/EEC
178/2002
765/2008
852/2004
1272/2008
1907/2006
305/2011
517/2014
2016/425
2016/426
2016/1628
2024/573
96/29/Euratom
2009/71/Euratom
2011/70/Euratom
2013/59/Euratom
83/513/EEC
84/156/EEC
86/280/EEC
89/106/EEC
89/686/EEC
90/396/EEC
92/43/EEC
94/9/EC ATEX
94/62/EC
95/16/EC
97/23/EC
1999/92/EC
2000/60/EC
2004/22/EC
2004/35/CE
2004/108/EC
2006/42/EC
2006/44/EC
2006/95/EC
2008/50/EC
2008/98/EC
2008/105/EC
2009/105/EC
2009/125/EC
2009/147/EC
2010/31/EU
2011/65/EU
2011/92/EU
2012/19/EU
2013/35/EU
2014/24/EU
2014/25/EU
2014/29/EU
2014/30/EU
2014/31/EU
2014/32/EU
2014/33/EU
2014/34/EU
2014/35/EU
2014/68/EU
2019/944
2020/2184
2009/90/EC
82/461/EEC
82/72/EEC
93/626/EEC
768/2008/EC
2006/40/Euratom
2009/120/Euratom
ETS 104
C2012/327/01
1996 IUCN
Act I of 1988
Act I of 1997
Act II of 2014
Act VII of 2015
Act XI of 1991
Act XX of 2007
Act XXI of 1996
Act XXV of 2000
Act XXVI of 1998
Act XXVI of 2003
Act XXVIII of 1995
Act XXX of 2004
Act XXXI of 1996
Act XXXII of 2003
Act XXXV of 1999
Act XLI of 1997
Act XLII of 1993
Act XLII of 1999
Act XLII of 2000
Act XLV of 1991
Act XLVI of 2008
Act XLVI of 2012
Act XLVIII of 1993
Act L of 1999
Act LIII of 1995
Act LIII of 1996
Act LIII of 2006
Act LVII of 1995
Act LXII of 2008
Act LXIV of 2000
Act LXIV of 2001
Act LXXII of 2000
Act LXXIV of 1999
Act LXXV of 2000
Act LXXVI of 2001
Act LXXVIII of 1997
Act LXXX of 2000
Act LXXXI of 1995
Act LXXXI of 2001
Act LXXXII of 2006
Act LXXXVI of 2007
Act LXXXIX of 2003
Act XC of 1999
Act XCIII of 1990
Act XCIII of 1993
Act XCVII of 1995
Act C of 2003
Act C of 2023
Act CII of 2013
Act CIII of 2023
Act CXXVIII of 2011
Act CXXIX of 2007
Act CXXX of 2010
Act CXXXIII of 2005
Act CXL of 2004
Act CL of 2016
Act CLV of 2009
Act CLXXXIII of 2005
Act CLXXXV of 2012
Act CCIX of 2011
Act CCXXII of 2015
Act CCXXIX of 2013
Act CXXXIX of 2018
Govt. Decree 2/2005. (I. 11.)
Govt. Decree 5/2023. (I. 12.)
Govt. Decree 13/2011. (II. 22.)
Govt. Deñree 14/2015. (II. 10.)
Govt. Decree 17/1996. (I. 31.)
Govt. Decree 23/2006. (II. 3.)
Govt. Decree 31/2014. (II. 12.)
Govt. Decree 33/2000. (III. 17.)
Govt. Decree 34/2009. (II. 20.)
Govt. Decree 51/2005. (III. 24.)
Govt. Decree 53/2012. (III. 28.)
Govt. Decree 67/1998. (IV. 3.)
Govt. Decree 68/2018. (IV. 9.)
Govt. Decree 70/2018. (IV. 9.)
Govt. Decree 71/2015. (III. 30.)
Govt. Decree 72/1996. (V. 22.)
Govt. Decree 72/2000. (V. 19.)
Govt. Decree 76/2009. (IV. 8.)
Govt. Decree 83/2014. (III. 14.)
Govt. Decree 85/2024. (IV. 17.)
Govt. Decree 89/1995. (VII. 14.)
Govt. Decree 89/2005. (V. 5.)
Govt. Decree 90/2007. (IV. 26.)
Govt. Decree 90/2010. (III. 26.)
Govt. Decree 91/2007. (IV. 26.)
Govt. Decree 93/2012. (V. 10.)
Govt. Decree 95/2006. (IV. 18.)
Govt. Decree 98/2001. (VI. 15.)
Govt. Decree 112/2011. (VII. 4.)
Govt. Decree 113/1998. (VI. 10.)
Govt. Decree 123/1997. (VII. 18.)
Govt. Decree 124/1997. (VII. 18.)
Govt. Decree 127/1991. (X. 9.)
Govt. Decree 130/1992. (IX. 3.)
Govt. Decree 144/2011. (VII. 27.)
Govt. Decree 146/2014. (V. 5.)
Govt. Decree 147/2010. (IV. 29.)
Govt. Decree 148/1999. (X. 13.)
Govt. Decree 155/2014. (VI. 30.)
Govt. Decree 159/2010. (V. 6.)
Govt. Decree 165/2003. (X. 18.)
Govt. Decree 167/2010. (V. 11.)
Govt. Decree 176/2008. (VI. 30.)
Govt. Decree 179/1999. (XII. 10.)
Govt. Decree 184/2016. (VII. 13.)
Govt. Decree 190/2009. (IX. 15.)
Govt. Decree 190/2011. (IX. 19.)
Govt. Decree 191/2009. (IX. 15.)
Govt. Decree 193/2009. (IX. 15.)
Govt. Decree 201/2001. (X. 25.)
Govt. Decree 208/2015. (VII. 23.)
Govt. Decree 213/1997. (XII. 1.)
Govt. Decree 213/2019. (VIII. 27.)
Govt. Decree 215/2013. (VI. 21.)
Govt. Decree 218/2009. (X. 6.)
Govt. Decree 219/2004. (VII. 21.)
Govt. Decree 219/2011. (X. 20.)
Govt. Decree 220/2004. (VII. 21.)
Govt. Decree 221/2004. (VII. 21.)
Govt. Decree 223/2014. (IX. 4.)
Govt. Decree 225/2015. (VIII. 7.)
Govt. Decree 227/1997. (XII. 10.)
Govt. Decree 234/2011. (XI. 10.)
Govt. Decree 236/2013. (VI. 30.)
Govt. Decree 237/2024. (VIII. 8.)
Govt. Decree 238/2005. (X. 25.)
Govt. Decree 239/2011. (XI. 18.)
Govt. Decree 240/1997. (XII. 18.)
Govt. Decree 245/2006. (XII. 5.)
Govt. Decree 246/2011. (XI. 24.)
Govt. Decree 246/2014. (IX. 29.)
Govt. Decree 247/2011. (XI. 25.)
Govt. Decree 249/2004. (VIII. 27.)
Govt. Decree 252/2006. (XII. 7.)
Govt. Decree 252/2024. (VIII. 22.)
Govt. Decree 253/1997. (XII. 20.)
Govt. Decree 259/2011. (XII. 7.)
Govt. Decree 263/2006. (XII. 20.)
Govt. Decree 266/2013. (VII. 11.)
Govt. Decree 272/2024. (IX. 19.)
Govt. Decree 273/2007. (X. 19.)
Govt. Decree 275/2002. (XII. 21.)
Govt. Decree 275/2004. (X. 8.)
Govt. Decree 275/2013. (VII. 16.)
Govt. Decree 280/2024. (IX. 30.)
Govt. Decree 281/2024. (IX. 30.)
Govt. Decree 284/2007. (X. 29.)
Govt. Decree 289/2012. (X. 11.)
Govt. Decree 297/2009. (XII. 21.)
Govt. Decree 300/2014. (XII. 5.)
